"rb";"nazivDobavljaca";"nazivPruzatelja";"oib";"adresaPruzatelja";"rbDatumRacuna";"brMedijskihUsluga";"iznosCijeneBezPopusta";"popustPostotak";"placeniIznosPopust";"obveznik_id"
"20";"RTL HRVATSKA d.o.o.";"RTL HRVATSKA d.o.o.";"07330149920";"Krapinska 45, Zagreb";"P-08-06-2020 / 08.06.2020";"416364";18181.82;50;11363.64;"1403623231"
"21";"RTL HRVATSKA d.o.o.";"RTL HRVATSKA d.o.o.";"07330149920";"Krapinska 45, Zagreb";"P-08-06-2020 / 08.06.2020";"416364";18181.82;50;11363.64;"1403623231"
"22";"RTL HRVATSKA d.o.o.";"RTL HRVATSKA d.o.o.";"07330149920";"Krapinska 45, Zagreb";"P-08-06-2020 / 08.06.2020";"416364";18181.82;50;11363.64;"1403623231"
"23";"RTL HRVATSKA d.o.o.";"RTL HRVATSKA d.o.o.";"07330149920";"Krapinska 45, Zagreb";"P-08-06-2020 / 08.06.2020";"416364";18181.76;50;11363.6;"1403623231"
"24";"24SATA d.o.o.";"24SATA d.o.o.";"78093047651";"Oreškovićeva 6H/1, Zagreb";"P-2020-06-13855 / 12.06.2020";"187185";45454.56;75.5;14204.55;"1403623231"
"25";"24SATA d.o.o.";"24SATA d.o.o.";"78093047651";"Oreškovićeva 6H/1, Zagreb";"P-2020-06-13855 / 12.06.2020";"187185";45454.56;75.5;14204.55;"1403623231"
"26";"24SATA d.o.o.";"24SATA d.o.o.";"78093047651";"Oreškovićeva 6H/1, Zagreb";"P-2020-06-13855 / 12.06.2020";"187185";45454.56;75.5;14204.55;"1403623231"
"27";"24SATA d.o.o.";"24SATA d.o.o.";"78093047651";"Oreškovićeva 6H/1, Zagreb";"P-2020-06-13855 / 12.06.2020";"187185";45454.56;75.5;14204.55;"1403623231"
"28";"24SATA d.o.o.";"24SATA d.o.o.";"78093047651";"Oreškovićeva 6H/1, Zagreb";"P-2020-06-13855 / 12.06.2020";"187185";45454.56;75.5;14204.55;"1403623231"
"29";"24SATA d.o.o.";"24SATA d.o.o.";"78093047651";"Oreškovićeva 6H/1, Zagreb";"P-2020-06-13855 / 12.06.2020";"187185";45454.56;75.5;14204.55;"1403623231"
"30";"24SATA d.o.o.";"24SATA d.o.o.";"78093047651";"Oreškovićeva 6H/1, Zagreb";"P-2020-06-13855 / 12.06.2020";"187185";45454.56;75.5;14204.55;"1403623231"
"31";"24SATA d.o.o.";"24SATA d.o.o.";"78093047651";"Oreškovićeva 6H/1, Zagreb";"P-2020-06-13855 / 12.06.2020";"187185";45454.56;75.5;14204.55;"1403623231"
"32";"24SATA d.o.o.";"24SATA d.o.o.";"78093047651";"Oreškovićeva 6H/1, Zagreb";"P-2020-06-13855 / 12.06.2020";"187185";45454.56;75.5;14204.55;"1403623231"
"33";"24SATA d.o.o.";"24SATA d.o.o.";"78093047651";"Oreškovićeva 6H/1, Zagreb";"P-2020-06-13855 / 12.06.2020";"187185";45454.56;75.5;14204.55;"1403623231"
"34";"24SATA d.o.o.";"24SATA d.o.o.";"78093047651";"Oreškovićeva 6H/1, Zagreb";"P-2020-06-13855 / 12.06.2020";"187185";45454.4;75.5;14204.5;"1403623231"
"35";"EUROPA CONSULTATIO d.o.o.";"EUROPA CONSULTATIO d.o.o.-hrvatska-danas.com";"24067874694";"Naselak 16, Zagreb";"P-16 / 12.06.2020";"18182";1818.18;0;1818.18;"1403623231"
"36";"EUROPA CONSULTATIO d.o.o.";"EUROPA CONSULTATIO d.o.o.-hrvatska-danas.com";"24067874694";"Naselak 16, Zagreb";"P-16 / 12.06.2020";"18182";1818.18;0;1818.18;"1403623231"
"37";"EUROPA CONSULTATIO d.o.o.";"EUROPA CONSULTATIO d.o.o.-hrvatska-danas.com";"24067874694";"Naselak 16, Zagreb";"P-16 / 12.06.2020";"18182";1818.18;0;1818.18;"1403623231"
"38";"EUROPA CONSULTATIO d.o.o.";"EUROPA CONSULTATIO d.o.o.-hrvatska-danas.com";"24067874694";"Naselak 16, Zagreb";"P-16 / 12.06.2020";"18182";1818.18;0;1818.18;"1403623231"
"39";"EUROPA CONSULTATIO d.o.o.";"EUROPA CONSULTATIO d.o.o.-hrvatska-danas.com";"24067874694";"Naselak 16, Zagreb";"P-16 / 12.06.2020";"18182";1818.18;0;1818.18;"1403623231"
"40";"EUROPA CONSULTATIO d.o.o.";"EUROPA CONSULTATIO d.o.o.-hrvatska-danas.com";"24067874694";"Naselak 16, Zagreb";"P-16 / 12.06.2020";"18182";1818.18;0;1818.18;"1403623231"
"41";"EUROPA CONSULTATIO d.o.o.";"EUROPA CONSULTATIO d.o.o.-hrvatska-danas.com";"24067874694";"Naselak 16, Zagreb";"P-16 / 12.06.2020";"18182";1818.18;0;1818.18;"1403623231"
"42";"EUROPA CONSULTATIO d.o.o.";"EUROPA CONSULTATIO d.o.o.-hrvatska-danas.com";"24067874694";"Naselak 16, Zagreb";"P-16 / 12.06.2020";"18182";1818.18;0;1818.18;"1403623231"
"43";"EUROPA CONSULTATIO d.o.o.";"EUROPA CONSULTATIO d.o.o.-hrvatska-danas.com";"24067874694";"Naselak 16, Zagreb";"P-16 / 12.06.2020";"18182";1818.18;0;1818.18;"1403623231"
"44";"EUROPA CONSULTATIO d.o.o.";"EUROPA CONSULTATIO d.o.o.-hrvatska-danas.com";"24067874694";"Naselak 16, Zagreb";"P-16 / 12.06.2020";"18182";1818.18;0;1818.18;"1403623231"
"45";"EUROPA CONSULTATIO d.o.o.";"EUROPA CONSULTATIO d.o.o.-hrvatska-danas.com";"24067874694";"Naselak 16, Zagreb";"P-16 / 12.06.2020";"18182";1818.2;0;1818.2;"1403623231"
"46";"ING MARKETING j.d.o.o.";"Glasilo Post";"44034852402";"Janka Draškovića 3, Bjelovar";"p-9-6 / 15.06.2020";"1";1530;0;1530;"1403623231"
"47";"PRVI POGLED j.d.o.o.";"maxportal.hr";"96056116566";"Braće Domany 4, Zagreb";"P-11/20 / 15.06.2020";"1";1818.18;0;1818.18;"1403623231"
"48";"PRVI POGLED j.d.o.o.";"maxportal.hr";"96056116566";"Braće Domany 4, Zagreb";"P-11/20 / 15.06.2020";"1";1818.18;0;1818.18;"1403623231"
"49";"PRVI POGLED j.d.o.o.";"maxportal.hr";"96056116566";"Braće Domany 4, Zagreb";"P-11/20 / 15.06.2020";"1";1818.18;0;1818.18;"1403623231"
"50";"PRVI POGLED j.d.o.o.";"maxportal.hr";"96056116566";"Braće Domany 4, Zagreb";"P-11/20 / 15.06.2020";"1";1818.18;0;1818.18;"1403623231"
"51";"PRVI POGLED j.d.o.o.";"maxportal.hr";"96056116566";"Braće Domany 4, Zagreb";"P-11/20 / 15.06.2020";"1";1818.18;0;1818.18;"1403623231"
"52";"PRVI POGLED j.d.o.o.";"maxportal.hr";"96056116566";"Braće Domany 4, Zagreb";"P-11/20 / 15.06.2020";"1";1818.18;0;1818.18;"1403623231"
"53";"PRVI POGLED j.d.o.o.";"maxportal.hr";"96056116566";"Braće Domany 4, Zagreb";"P-11/20 / 15.06.2020";"1";1818.18;0;1818.18;"1403623231"
"54";"PRVI POGLED j.d.o.o.";"maxportal.hr";"96056116566";"Braće Domany 4, Zagreb";"P-11/20 / 15.06.2020";"1";1818.18;0;1818.18;"1403623231"
"55";"PRVI POGLED j.d.o.o.";"maxportal.hr";"96056116566";"Braće Domany 4, Zagreb";"P-11/20 / 15.06.2020";"1";1818.18;0;1818.18;"1403623231"
"56";"PRVI POGLED j.d.o.o.";"maxportal.hr";"96056116566";"Braće Domany 4, Zagreb";"P-11/20 / 15.06.2020";"1";1818.18;0;1818.18;"1403623231"
"57";"PRVI POGLED j.d.o.o.";"maxportal.hr";"96056116566";"Braće Domany 4, Zagreb";"P-11/20 / 15.06.2020";"1";1818.2;0;1818.2;"1403623231"
"58";"INDEX PROMOCIJA d.o.o.";"INDEX PROMOCIJA d.o.o.";"37502434016";"Radnička cesta 37b, Zagreb";"496-1-2020-1-1 / 16.06.2020";"362727";25454.56;75;7954.55;"1403623231"
"59";"INDEX PROMOCIJA d.o.o.";"INDEX PROMOCIJA d.o.o.";"37502434016";"Radnička cesta 37b, Zagreb";"496-1-2020-1-1 / 16.06.2020";"362727";25454.56;75;7954.55;"1403623231"
"60";"INDEX PROMOCIJA d.o.o.";"INDEX PROMOCIJA d.o.o.";"37502434016";"Radnička cesta 37b, Zagreb";"496-1-2020-1-1 / 16.06.2020";"362727";25454.56;75;7954.55;"1403623231"
"61";"INDEX PROMOCIJA d.o.o.";"INDEX PROMOCIJA d.o.o.";"37502434016";"Radnička cesta 37b, Zagreb";"496-1-2020-1-1 / 16.06.2020";"362727";25454.56;75;7954.55;"1403623231"
"62";"INDEX PROMOCIJA d.o.o.";"INDEX PROMOCIJA d.o.o.";"37502434016";"Radnička cesta 37b, Zagreb";"496-1-2020-1-1 / 16.06.2020";"362727";25454.56;75;7954.55;"1403623231"
"63";"INDEX PROMOCIJA d.o.o.";"INDEX PROMOCIJA d.o.o.";"37502434016";"Radnička cesta 37b, Zagreb";"496-1-2020-1-1 / 16.06.2020";"362727";25454.56;75;7954.55;"1403623231"
"64";"INDEX PROMOCIJA d.o.o.";"INDEX PROMOCIJA d.o.o.";"37502434016";"Radnička cesta 37b, Zagreb";"496-1-2020-1-1 / 16.06.2020";"362727";25454.56;75;7954.55;"1403623231"
"65";"INDEX PROMOCIJA d.o.o.";"INDEX PROMOCIJA d.o.o.";"37502434016";"Radnička cesta 37b, Zagreb";"496-1-2020-1-1 / 16.06.2020";"362727";25454.56;75;7954.55;"1403623231"
"66";"INDEX PROMOCIJA d.o.o.";"INDEX PROMOCIJA d.o.o.";"37502434016";"Radnička cesta 37b, Zagreb";"496-1-2020-1-1 / 16.06.2020";"362727";25454.56;75;7954.55;"1403623231"
"67";"INDEX PROMOCIJA d.o.o.";"INDEX PROMOCIJA d.o.o.";"37502434016";"Radnička cesta 37b, Zagreb";"496-1-2020-1-1 / 16.06.2020";"362727";25454.56;75;7954.55;"1403623231"
"68";"INDEX PROMOCIJA d.o.o.";"INDEX PROMOCIJA d.o.o.";"37502434016";"Radnička cesta 37b, Zagreb";"496-1-2020-1-1 / 16.06.2020";"362727";25454.4;75;7954.5;"1403623231"
"69";"DALMACIJA DANAS d.o.o.";"dalmacijadanas.hr";"07705972299";"Matoševa 44, Split";"203/01/201 / 17.06.2020";"1";5900;0;7375;"1403623231"
"70";"TELEVIZIJA JADRAN d.o.o.";"TELEVIZIJA JADRAN d.o.o.";"22720227776";"Ruđera Boškovića 22, Split";"P-01775/08 / 17.06.2020";"53";35000;0;43750;"1403623231"
"71";"COLLOCO d.o.o.";"Krugoval";"59265999214";"Daruvarska 87, Bjelovar";"215/1/1 / 18.06.2020";"100";2414;15;2564.87;"1403623231"
"72";"COLLOCO d.o.o.";"Radio Daruvar";"59265999214";"Daruvarska 87, Bjelovar";"215/1/1 / 18.06.2020";"100";4000;20;4000;"1403623231"
"73";"COLLOCO d.o.o.";"Radio Grubišno Polje";"59265999214";"Daruvarska 87, Bjelovar";"215/1/1 / 18.06.2020";"100";1600;20;1600;"1403623231"
"74";"COLLOCO d.o.o.";"Radio Vrbovec";"59265999214";"Daruvarska 87, Bjelovar";"215/1/1 / 18.06.2020";"75";4500;20;4500;"1403623231"
"75";"INFORMATIVNI CENTAR-HRVATSKA RADIO POSTAJA ČAZMA d.o.o.";"INFORMATIVNI CENTAR-HRVATSKA RADIO POSTAJA ČAZMA d.o.o.";"10703769128";"Trg Čazmanskog kaptola 13, Čazma";"223/1/1 / 18.06.2020";"149";12024;0;15030;"1403623231"
"76";"RADIO DALMACIJA d.o.o.";"RADIO DALMACIJA d.o.o.";"27746792432";"Kralja Zvonimira 14/II, Split";"P-2020-1382 / 18.06.2020";"45";24777.49;5;29423.28;"1403623231"
"77";"ALFA d.o.o.";"klikni.hr";"88730888278";"Trg Eugena Kvaternika 7A, Bjelovar";"P-5/1/2960 / 19.06.2020";"1";42390;0;52987.5;"1403623231"
"78";"COLLOCO d.o.o.";"Radio Drava";"59265999214";"Daruvarska 87, Bjelovar";"215/1/1 / 19.06.2020";"100";6000;15;6375;"1403623231"
"79";"COLLOCO d.o.o.";"Radio Koprivnica";"59265999214";"Daruvarska 87, Bjelovar";"215/1/1 / 19.06.2020";"85";5950;15;6321.88;"1403623231"
"80";"COLLOCO d.o.o.";"Radio Martin";"59265999214";"Daruvarska 87, Bjelovar";"215/1/1 / 19.06.2020";"75";8250;15;8765.63;"1403623231"
"81";"EXPRESS AGENCIJA d.o.o.";"EXPRESS AGENCIJA d.o.o.";"58894956548";"Krmpotićeva 5A, Pula";"P-160/2020 / 19.06.2020";"1";20000;0;25000;"1403623231"
"82";"HORSE OBRT vl. Petar Grgurev";"infovodice.com";"74544876796";"";"114-Vodice-1 / 19.06.2020";"4";1800;0;1800;"1403623231"
"83";"ILOK TON d.o.o.";"Radio Ilok";"39397242830";"Trg N. Iločkog 13/1, Ilok";"29/1/1 / 19.06.2020";"50";2000;5;2375;"1403623231"
"84";"ILOK TON d.o.o.";"Radio Ilok";"39397242830";"Trg N. Iločkog 13/1, Ilok";"30/1/1 / 19.06.2020";"5";2000;0;2500;"1403623231"
"85";"IN PROMOCIJA d.o.o.";"eMedjimurje.hr";"58110346325";"Nikole Tesle 1/A, Mala Subotica";"617-1-1 / 19.06.2020";"1";15000;0;18750;"1403623231"
"86";"KRUGOVAL 93,1 MHZ d.o.o.";"KRUGOVAL 93,1 MHZ";"21271747339";"Vladimira Nazora 25, Garešnica";"20/0000154 / 19.06.2020";"4";1610.7;0;2013.38;"1403623231"
"87";"MEDIA NOVINE d.o.o.";"MEDIA NOVINE d.o.o.";"37268927073";"Kralja Tomislava 2, Čakovec";"P-144-01-01 / 19.06.2020";"3";11180;15;11878.75;"1403623231"
"88";"MEDIA-MIX-RADIO 105 d.o.o.";"MEDIA-MIX-RADIO 105 d.o.o.";"42618923306";"Braće Radića 23, Selnica";"P-85 / 19.06.2020";"1";5750;0;5750;"1403623231"
"89";"MEDIAN OBRT vl. Zoran Diklić";"m.sibenik.in / ŠibenikINportal";"46105682870";"";"423-01-01-2020 / 19.06.2020";"5";18180;0;22725;"1403623231"
"90";"RADIO GORSKI KOTAR d.o.o.";"RADIO GORSKI KOTAR d.o.o.";"73841607414";"Trg 138. brigade HV 4, Delnice";"P-210/20 / 19.06.2020";"1";1190.26;10;1339.04;"1403623231"
"91";"RADIO HRVATSKO ZAGORJE-KRAPINA d.o.o.";"RADIO HRVATSKO ZAGORJE-KRAPINA d.o.o.";"86615564616";"Šetalište Hrvatskog narodnog preporoda 13, Krapina";"130/1-1 / 19.06.2020";"12";1200;15;1275;"1403623231"
"92";"RADIO HRVATSKO ZAGORJE-KRAPINA d.o.o.";"RADIO HRVATSKO ZAGORJE-KRAPINA d.o.o.";"86615564616";"Šetalište Hrvatskog narodnog preporoda 13, Krapina";"130/1-1 / 19.06.2020";"11";3300;10;3712.5;"1403623231"
"93";"MEDIA FI d.o.o.";"MEDIA FI";"06285889438";"Zagrebačka 12a, Rovinj";"P-2020-0146 / 20.06.2020";"47";7575.7;14.5;8143.88;"1403623231"
"94";"RADIO POSTAJA NEDELIŠĆE d.o.o.";"RADIO POSTAJA NEDELIŠĆE d.o.o.";"38462541331";"Nova ulica 7, Nedelišće";"P-2002/1/2 / 20.06.2020";"72";6480;26;5994;"1403623231"
"95";"ISTARSKI PORTAL d.o.o.";"istarski.hr";"70704729618";"Mate Blažine 4, Labin";"P-1 / 21.06.2020";"14";7000;20;7000;"1403623231"
"96";"RADIO STUBICA d.o.o.";"RADIO STUBICA d.o.o.";"29215553930";"Toplićka 10/II, Donja Stubica";"P-21-06-2020 / 21.06.2020";"42";7020;10;7897.5;"1403623231"
"97";"SJEVERNI POL d.o.o.";"dalmatinskiportal";"47071448004";"Zrinsko-frankopanska 211, Split";"P-2020-193 / 21.06.2020";"1";15600;0;19500;"1403623231"
"98";"HRVATSKI RADIO VUKOVAR d.o.o.";"Vukovarske novine";"97683222809";"Dr. Franje Tuđmana 13, Vukovar";"P-256 / 22.06.2020";"2";6760;0;8450;"1403623231"
"99";"MEDIARITAM d.o.o.";"Radio Kaj";"95283343666";"F. Galovića 1b, Krapina";"p-02-109-02 / 22.06.2020";"22";29000;0;36250;"1403623231"
"100";"OBRIGADO j.d.o.o.";"dalmacijanews.hr";"36876742227";"Hrvatske mornarice 10, Split";"P-HDZ / 22.06.2020";"1";7680;0;9600;"1403623231"
"101";"PR TVORNICA j.d.o.o.";"iPress.hr";"45918265514";"Premantura Selo 35, Premantura";"P-022/2020 / 22.06.2020";"1";5760;15;6120;"1403623231"
"102";"BJELOVAR LIVE d.o.o.";"bjelovar.live";"96925521983";"Trg Eugena Kvaternika 6, Bjelovar";"67-01-01 / 23.06.2020";"1";4400;0;5500;"1403623231"
"103";"DALMACIJA DANAS d.o.o.";"dalmacijadanas.hr";"07705972299";"Matoševa 44, Split";"206/01/201 / 23.06.2020";"1";3100;0;3875;"1403623231"
"104";"DISKURS d.o.o.";"HRT-HR mreža";"59794563182";"Prisavlje 3, Zagreb";"P-4-JT-2020 / 23.06.2020";"3";8062.6;50;5039.13;"1403623231"
"105";"DISKURS d.o.o.";"HRT-HR mreža";"59794563182";"Prisavlje 3, Zagreb";"P-4-JT-2020 / 23.06.2020";"3";8062.6;50;5039.13;"1403623231"
"106";"DISKURS d.o.o.";"HRT-HR mreža";"59794563182";"Prisavlje 3, Zagreb";"P-4-JT-2020 / 23.06.2020";"3";8062.6;50;5039.13;"1403623231"
"107";"DISKURS d.o.o.";"HRT-HR mreža";"59794563182";"Prisavlje 3, Zagreb";"P-4-JT-2020 / 23.06.2020";"3";8062.6;50;5039.13;"1403623231"
"108";"DISKURS d.o.o.";"HRT-HR mreža";"59794563182";"Prisavlje 3, Zagreb";"P-4-JT-2020 / 23.06.2020";"3";8062.6;50;5039.13;"1403623231"
"109";"DISKURS d.o.o.";"HRT-HR mreža";"59794563182";"Prisavlje 3, Zagreb";"P-4-JT-2020 / 23.06.2020";"3";8062.6;50;5039.13;"1403623231"
"110";"DISKURS d.o.o.";"HRT-HR mreža";"59794563182";"Prisavlje 3, Zagreb";"p-4-JT-2020 / 23.06.2020";"3";8062.6;50;5039.13;"1403623231"
"111";"DISKURS d.o.o.";"HRT-HR mreža";"59794563182";"Prisavlje 3, Zagreb";"P-4-JT-2020 / 23.06.2020";"3";8062.6;50;5039.13;"1403623231"
"112";"DISKURS d.o.o.";"HRT-HR mreža";"59794563182";"Prisavlje 3, Zagreb";"P-4-JT-2020 / 23.06.2020";"3";8062.6;50;5039.13;"1403623231"
"113";"DISKURS d.o.o.";"HRT-HR mreža";"59794563182";"Prisavlje 3, Zagreb";"P-4-JT-2020 / 23.06.2020";"3";8062.52;50;5039.08;"1403623231"
"114";"DISKURS d.o.o.";"Narodni radio";"59794563182";"Avenija V. Holjevca 29, Zagreb";"P-4-JT-2020 / 23.06.2020";"7";5762.4;5;6842.85;"1403623231"
"115";"DISKURS d.o.o.";"Narodni radio";"59794563182";"Avenija V. Holjevca 29, Zagreb";"P-4-JT-2020 / 23.06.2020";"7";5762.4;5;6842.85;"1403623231"
"116";"DISKURS d.o.o.";"Narodni radio";"59794563182";"Avenija V. Holjevca 29, Zagreb";"P-4-JT-2020 / 23.06.2020";"7";5762.4;5;6842.85;"1403623231"
"117";"DISKURS d.o.o.";"Narodni radio";"59794563182";"Avenija V. Holjevca 29, Zagreb";"P-4-JT-2020 / 23.06.2020";"7";5762.4;5;6842.85;"1403623231"
"118";"DISKURS d.o.o.";"Narodni radio";"59794563182";"Avenija V. Holjevca 29, Zagreb";"P-4-JT-2020 / 23.06.2020";"7";5762.4;5;6842.85;"1403623231"
"119";"DISKURS d.o.o.";"Narodni radio";"59794563182";"Avenija V. Holjevca 29, Zagreb";"P-4-JT-2020 / 23.06.2020";"7";5762.4;5;6842.85;"1403623231"
"120";"DISKURS d.o.o.";"Narodni radio";"59794563182";"Avenija V. Holjevca 29, Zagreb";"P-4-JT-2020 / 23.06.2020";"7";5762.4;5;6842.85;"1403623231"
"121";"DISKURS d.o.o.";"Narodni radio";"59794563182";"Avenija V. Holjevca 29, Zagreb";"P-4-JT-2020 / 23.06.2020";"7";5762.4;5;6842.85;"1403623231"
"122";"DISKURS d.o.o.";"Narodni radio";"59794563182";"Avenija V. Holjevca 29, Zagreb";"P-4-JT-2020 / 23.06.2020";"7";5762.4;5;6842.85;"1403623231"
"123";"DISKURS d.o.o.";"Narodni radio";"59794563182";"Avenija V. Holjevca 29, Zagreb";"P-4-JT-2020 / 23.06.2020";"7";5762.4;5;6842.85;"1403623231"
"124";"DISKURS d.o.o.";"Otvoreni radio";"59794563182";"Cebini 28/III, Zagreb";"P-4-JT-2020 / 23.06.2020";"7";5402;15;5739.63;"1403623231"
"125";"DISKURS d.o.o.";"Otvoreni radio";"59794563182";"Cebini 28/III, Zagreb";"P-4-JT-2020 / 23.06.2020";"7";5402;15;5739.63;"1403623231"
"126";"DISKURS d.o.o.";"Otvoreni radio";"59794563182";"Cebini 28/III, Zagreb";"P-4-JT-2020 / 23.06.2020";"7";5402;15;5739.63;"1403623231"
"127";"DISKURS d.o.o.";"Otvoreni radio";"59794563182";"Cebini 28/III, Zagreb";"P-4-JT-2020 / 23.06.2020";"7";5402;15;5739.63;"1403623231"
"128";"DISKURS d.o.o.";"Otvoreni radio";"59794563182";"Cebini 28/III, Zagreb";"P-4-JT-2020 / 23.06.2020";"7";5402;15;5739.63;"1403623231"
"129";"DISKURS d.o.o.";"Otvoreni radio";"59794563182";"Cebini 28/III, Zagreb";"P-4-JT-2020 / 23.06.2020";"7";5402;15;5739.63;"1403623231"
"130";"DISKURS d.o.o.";"Otvoreni radio";"59794563182";"Cebini 28/III, Zagreb";"P-4-JT-2020 / 23.06.2020";"7";5402;15;5739.63;"1403623231"
"131";"DISKURS d.o.o.";"Otvoreni radio";"59794563182";"Cebini 28/III, Zagreb";"P-4-JT-2020 / 23.06.2020";"7";5402;15;5739.63;"1403623231"
"132";"DISKURS d.o.o.";"Otvoreni radio";"59794563182";"Cebini 28/III, Zagreb";"P-4-JT-2020 / 23.06.2020";"7";5402;15;5739.63;"1403623231"
"133";"DISKURS d.o.o.";"Otvoreni radio";"59794563182";"Cebini 28/III, Zagreb";"P-4-JT-2020 / 23.06.2020";"7";5401.94;15;5739.56;"1403623231"
"134";"HRVATSKI RADIO ČAKOVEC d.o.o.";"HRVATSKI RADIO ČAKOVEC d.o.o.";"51014052038";"Trg Republike 5, Čakovec";"P-2306/2020 / 23.06.2020";"40";5320;5;6317.5;"1403623231"
"135";"KANAL RI d.o.o.";"KANAL RI d.o.o.";"26219089758";"Trg Riječke rezolucije 3, Rijeka";"P-20/06/2020 / 23.06.2020";"36";11189;10;12587.63;"1403623231"
"136";"KRUNA vl. Kruna Protić";"Kronika požeško-slavonska";"21529895762";"";"325/1/2 / 23.06.2020";"4";6400;0;8000;"1403623231"
"137";"KRUNA vl. Kruna Protić";"pozeska-kronika.hr / 034portal.hr / Sbonline.net / peleter-portal.hr";"21529895762";"Mlinska 21, Požega";"325/1/2 / 23.06.2020";"20";8600;0;10750;"1403623231"
"138";"LIČKI PUT, UDRUGA ZA MEDIJSKU DJELATNOST, SPORT I PRAVNU POMOĆ";"LIČKI PUT";"30952884435";"P. F. Biničkog 32, Gospić";"p-082/01/2020 / 23.06.2020";"1";3000;0;3000;"1403623231"
"139";"MIDAS NETWORK d.o.o.";"MIDAS NETWORK d.o.o.";"44561205245";"Radnička cesta 47, Zagreb";"783-1-1 / 23.06.2020";"2227273";8909.09;0;11136.36;"1403623231"
"140";"MIDAS NETWORK d.o.o.";"MIDAS NETWORK d.o.o.";"44561205245";"Radnička cesta 47, Zagreb";"783-1-1 / 23.06.2020";"2227273";8909.09;0;11136.36;"1403623231"
"141";"MIDAS NETWORK d.o.o.";"MIDAS NETWORK d.o.o.";"44561205245";"Radnička cesta 47, Zagreb";"783-1-1 / 23.06.2020";"2227273";8909.09;0;11136.36;"1403623231"
"142";"MIDAS NETWORK d.o.o.";"MIDAS NETWORK d.o.o.";"44561205245";"Radnička cesta 47, Zagreb";"783-1-1 / 23.06.2020";"2227273";8909.09;0;11136.36;"1403623231"
"143";"MIDAS NETWORK d.o.o.";"MIDAS NETWORK d.o.o.";"44561205245";"Radnička cesta 47, Zagreb";"783-1-1 / 23.06.2020";"2227273";8909.09;0;11136.36;"1403623231"
"144";"MIDAS NETWORK d.o.o.";"MIDAS NETWORK d.o.o.";"44561205245";"Radnička cesta 47, Zagreb";"783-1-1 / 23.06.2020";"2227273";8909.09;0;11136.36;"1403623231"
"145";"MIDAS NETWORK d.o.o.";"MIDAS NETWORK d.o.o.";"44561205245";"Radnička cesta 47, Zagreb";"783-1-1 / 23.06.2020";"2227273";8909.09;0;11136.36;"1403623231"
"146";"MIDAS NETWORK d.o.o.";"MIDAS NETWORK d.o.o.";"44561205245";"Radnička cesta 47, Zagreb";"783-1-1 / 23.06.2020";"2227273";8909.09;0;11136.36;"1403623231"
"147";"MIDAS NETWORK d.o.o.";"MIDAS NETWORK d.o.o.";"44561205245";"Radnička cesta 47, Zagreb";"783-1-1 / 23.06.2020";"2227273";8909.09;0;11136.36;"1403623231"
"148";"MIDAS NETWORK d.o.o.";"MIDAS NETWORK d.o.o.";"44561205245";"Radnička cesta 47, Zagreb";"783-1-1 / 23.06.2020";"2227273";8909.09;0;11136.36;"1403623231"
"149";"MIDAS NETWORK d.o.o.";"MIDAS NETWORK d.o.o.";"44561205245";"Radnička cesta 47, Zagreb";"783-1-1 / 23.06.2020";"2227273";8909.12;0;11136.4;"1403623231"
"150";"NEZAVISNA TELEVIZIJA d.o.o.";"Mreža TV";"92921283762";"Kamenarka 30, Zagreb";"P-29 / 23.06.2020";"3";15000;20;15000;"1403623231"
"151";"NEZAVISNA TELEVIZIJA d.o.o.";"Mreža TV";"92921283762";"Kamenarka 30, Zagreb";"P-29 / 23.06.2020";"1";4000;0;5000;"1403623231"
"152";"OMNICOM MEDIA GROUP d.o.o.";"CMC";"26736449727";"Makarska 3, Zagreb";"P-IPON-20/0001 / 23.06.2020";"12";7090.9;70;2659.09;"1403623231"
"153";"OMNICOM MEDIA GROUP d.o.o.";"CMC";"26736449727";"Makarska 3, Zagreb";"P-IPON-20/0001 / 23.06.2020";"12";7090.9;70;2659.09;"1403623231"
"154";"OMNICOM MEDIA GROUP d.o.o.";"CMC";"26736449727";"Makarska 3, Zagreb";"P-IPON-20/0001 / 23.06.2020";"12";7090.9;70;2659.09;"1403623231"
"155";"OMNICOM MEDIA GROUP d.o.o.";"CMC";"26736449727";"Makarska 3, Zagreb";"P-IPON-20/0001 / 23.06.2020";"12";7090.9;70;2659.09;"1403623231"
"156";"OMNICOM MEDIA GROUP d.o.o.";"CMC";"26736449727";"Makarska 3, Zagreb";"P-IPON-20/0001 / 23.06.2020";"12";7090.9;70;2659.09;"1403623231"
"157";"OMNICOM MEDIA GROUP d.o.o.";"CMC";"26736449727";"Makarska 3, Zagreb";"P-IPON-20/0001 / 23.06.2020";"12";7090.9;70;2659.09;"1403623231"
"158";"OMNICOM MEDIA GROUP d.o.o.";"CMC";"26736449727";"Makarska 3, Zagreb";"P-IPON-20/0001 / 23.06.2020";"12";7090.9;70;2659.09;"1403623231"
"159";"OMNICOM MEDIA GROUP d.o.o.";"CMC";"26736449727";"Makarska 3, Zagreb";"P-IPON-20/0001 / 23.06.2020";"12";7090.9;70;2659.09;"1403623231"
"160";"OMNICOM MEDIA GROUP d.o.o.";"CMC";"26736449727";"Makarska 3, Zagreb";"P-IPON-20/0001 / 23.06.2020";"12";7090.9;70;2659.09;"1403623231"
